..................The Test OutPut Data............

Sn=WS11209011619599,

TestTime=2020/11/09 20:47:49,

SaveTime=2020/11/09 20:47:50,

Voc=45.6200,

Isc=9.2660,

Rsh=1139.5588,

Rs=0.4610,

Pmax=330.7000,

Vm=38.2960,

Im=8.6350,

FF=78.2301,

EFF(cell)=18.6338,

EFF(Module)=16.6101,

Rank=330 WP I2

Current	 Voltage

9.2716	 -0.1369

9.2816	 -0.1334    

9.2809	 -0.1271

9.2801	 -0.1208

9.2794	 -0.1144

9.2787	 -0.1081

9.2779	 -0.1018

9.2772	 -0.0955

9.2765	 -0.0891

9.2757	 -0.0828

9.2750	 -0.0765

9.2743	 -0.0702

9.2735	 -0.0639

9.2728	 -0.0575

9.2721	 -0.0512

9.2713	 -0.0449

9.2706	 -0.0386

9.2698	 -0.0323

9.2691	 -0.0259

9.2684	 -0.0196

9.2676	 -0.0133

9.2669	 -0.0070

9.2662	 -0.0006

9.2654	 0.0057

9.2647	 0.0120

9.2640	 0.0183

9.2632	 0.0246

9.2625	 0.0310

9.2618	 0.0373

9.2610	 0.0436

9.2603	 0.0499

9.2596	 0.0562

9.2588	 0.0626

9.2581	 0.0689

9.2574	 0.0752

9.2566	 0.0815

9.2758	 0.0916

9.2759	 0.0981

9.2759	 0.1045

9.2759	 0.1109

9.2759	 0.1173

9.2760	 0.1237

9.2760	 0.1302

9.2760	 0.1366

9.2760	 0.1430

9.2761	 0.1494

9.2761	 0.1558

9.2761	 0.1623

9.2761	 0.1687

9.2762	 0.1751

9.2762	 0.1815

9.2762	 0.1879

9.2762	 0.1943

9.2763	 0.2008

9.2763	 0.2072

9.2763	 0.2136

9.2763	 0.2200

9.2764	 0.2264

9.2764	 0.2329

9.2764	 0.2393

9.2764	 0.2457

9.2765	 0.2521

9.2765	 0.2585

9.2765	 0.2649

9.2765	 0.2714

9.2766	 0.2778

9.2766	 0.2842

9.2766	 0.2906

9.2766	 0.2970

9.2767	 0.3035

9.2767	 0.3099

9.2767	 0.3163

9.2767	 0.3227

9.2768	 0.3291

9.2768	 0.3356

9.2768	 0.3420

9.2591	 0.3511

9.2594	 0.3579

9.2596	 0.3647

9.2599	 0.3714

9.2601	 0.3782

9.2604	 0.3850

9.2606	 0.3918

9.2609	 0.3986

9.2611	 0.4053

9.2614	 0.4121

9.2616	 0.4189

9.2619	 0.4257

9.2621	 0.4325

9.2624	 0.4392

9.2626	 0.4460

9.2629	 0.4528

9.2631	 0.4596

9.2634	 0.4664

9.2636	 0.4731

9.2639	 0.4799

9.2641	 0.4867

9.2644	 0.4935

9.2646	 0.5003

9.2648	 0.5070

9.2651	 0.5138

9.2653	 0.5206

9.2656	 0.5274

9.2658	 0.5342

9.2661	 0.5409

9.2663	 0.5477

9.2666	 0.5545

9.2668	 0.5613

9.2671	 0.5681

9.2673	 0.5748

9.2676	 0.5816

9.2678	 0.5884

9.2681	 0.5952

9.2683	 0.6020

9.2686	 0.6087

9.2688	 0.6155

9.2783	 0.6209

9.2781	 0.6275

9.2779	 0.6341

9.2777	 0.6406

9.2775	 0.6472

9.2773	 0.6538

9.2771	 0.6604

9.2769	 0.6669

9.2767	 0.6735

9.2765	 0.6801

9.2763	 0.6867

9.2761	 0.6933

9.2759	 0.6998

9.2757	 0.7064

9.2755	 0.7130

9.2753	 0.7196

9.2751	 0.7261

9.2749	 0.7327

9.2747	 0.7393

9.2745	 0.7459

9.2743	 0.7525

9.2741	 0.7590

9.2740	 0.7656

9.2738	 0.7722

9.2736	 0.7788

9.2734	 0.7853

9.2732	 0.7919

9.2730	 0.7985

9.2728	 0.8051

9.2726	 0.8116

9.2724	 0.8182

9.2722	 0.8248

9.2720	 0.8314

9.2718	 0.8380

9.2716	 0.8445

9.2714	 0.8511

9.2712	 0.8577

9.2710	 0.8643

9.2551	 0.8659

9.2557	 0.8734

9.2564	 0.8808

9.2571	 0.8882

9.2577	 0.8957

9.2584	 0.9031

9.2591	 0.9106

9.2597	 0.9180

9.2604	 0.9255

9.2611	 0.9329

9.2617	 0.9404

9.2624	 0.9478

9.2630	 0.9553

9.2637	 0.9627

9.2644	 0.9702

9.2650	 0.9776

9.2657	 0.9851

9.2664	 0.9925

9.2670	 1.0000

9.2677	 1.0074

9.2684	 1.0149

9.2690	 1.0223

9.2697	 1.0298

9.2704	 1.0372

9.2710	 1.0447

9.2717	 1.0521

9.2723	 1.0596

9.2730	 1.0670

9.2737	 1.0745

9.2743	 1.0819

9.2750	 1.0894

9.2757	 1.0968

9.2763	 1.1043

9.2770	 1.1117

9.2777	 1.1192

9.2783	 1.1266

9.2790	 1.1341

9.2797	 1.1415

9.2803	 1.1490

9.2810	 1.1564

9.2806	 1.1566

9.2800	 1.1634

9.2795	 1.1701

9.2789	 1.1768

9.2783	 1.1835

9.2778	 1.1902

9.2772	 1.1970

9.2767	 1.2037

9.2761	 1.2104

9.2755	 1.2171

9.2750	 1.2239

9.2744	 1.2306

9.2738	 1.2373

9.2733	 1.2440

9.2727	 1.2508

9.2721	 1.2575

9.2716	 1.2642

9.2710	 1.2709

9.2704	 1.2776

9.2699	 1.2844

9.2693	 1.2911

9.2687	 1.2978

9.2682	 1.3045

9.2676	 1.3113

9.2670	 1.3180

9.2665	 1.3247

9.2659	 1.3314

9.2654	 1.3382

9.2648	 1.3449

9.2642	 1.3516

9.2637	 1.3583

9.2631	 1.3650

9.2625	 1.3718

9.2620	 1.3785

9.2614	 1.3852

9.2608	 1.3919

9.2603	 1.3987

9.2725	 1.4105

9.2727	 1.4169

9.2728	 1.4233

9.2730	 1.4298

9.2732	 1.4362

9.2733	 1.4426

9.2735	 1.4490

9.2736	 1.4554

9.2738	 1.4618

9.2740	 1.4682

9.2741	 1.4747

9.2743	 1.4811

9.2745	 1.4875

9.2746	 1.4939

9.2748	 1.5003

9.2750	 1.5067

9.2751	 1.5131

9.2753	 1.5196

9.2755	 1.5260

9.2756	 1.5324

9.2758	 1.5388

9.2759	 1.5452

9.2761	 1.5516

9.2763	 1.5580

9.2764	 1.5645

9.2766	 1.5709

9.2768	 1.5773

9.2769	 1.5837

9.2771	 1.5901

9.2773	 1.5965

9.2774	 1.6029

9.2776	 1.6094

9.2778	 1.6158

9.2779	 1.6222

9.2781	 1.6286

9.2783	 1.6350

9.2784	 1.6414

9.2786	 1.6478

9.2788	 1.6543

9.2789	 1.6607

9.2656	 1.6678

9.2656	 1.6750

9.2657	 1.6821

9.2657	 1.6893

9.2658	 1.6965

9.2658	 1.7036

9.2659	 1.7108

9.2659	 1.7179

9.2660	 1.7251

9.2660	 1.7323

9.2661	 1.7394

9.2662	 1.7466

9.2662	 1.7538

9.2663	 1.7609

9.2663	 1.7681

9.2664	 1.7753

9.2664	 1.7824

9.2665	 1.7896

9.2665	 1.7968

9.2666	 1.8039

9.2666	 1.8111

9.2667	 1.8182

9.2667	 1.8254

9.2668	 1.8326

9.2668	 1.8397

9.2669	 1.8469

9.2669	 1.8541

9.2670	 1.8612

9.2671	 1.8684

9.2671	 1.8756

9.2672	 1.8827

9.2672	 1.8899

9.2673	 1.8970

9.2673	 1.9042

9.2674	 1.9114

9.2674	 1.9185

9.2675	 1.9257

9.2675	 1.9329

9.2676	 1.9400

9.2676	 1.9472

9.2649	 1.9495

9.2651	 1.9564

9.2653	 1.9633

9.2655	 1.9702

9.2657	 1.9771

9.2659	 1.9840

9.2661	 1.9909

9.2663	 1.9978

9.2665	 2.0047

9.2667	 2.0116

9.2669	 2.0185

9.2671	 2.0254

9.2673	 2.0323

9.2675	 2.0392

9.2677	 2.0461

9.2679	 2.0530

9.2681	 2.0599

9.2683	 2.0668

9.2685	 2.0737

9.2687	 2.0806

9.2689	 2.0875

9.2691	 2.0944

9.2693	 2.1012

9.2695	 2.1081

9.2697	 2.1150

9.2699	 2.1219

9.2701	 2.1288

9.2703	 2.1357

9.2705	 2.1426

9.2707	 2.1495

9.2709	 2.1564

9.2711	 2.1633

9.2713	 2.1702

9.2715	 2.1771

9.2717	 2.1840

9.2719	 2.1909

9.2721	 2.1978

9.2628	 2.2027

9.2629	 2.2088

9.2630	 2.2149

9.2631	 2.2211

9.2632	 2.2272

9.2634	 2.2333

9.2635	 2.2395

9.2636	 2.2456

9.2637	 2.2517

9.2638	 2.2579

9.2639	 2.2640

9.2640	 2.2701

9.2642	 2.2763

9.2643	 2.2824

9.2644	 2.2885

9.2645	 2.2947

9.2646	 2.3008

9.2647	 2.3070

9.2649	 2.3131

9.2650	 2.3192

9.2651	 2.3254

9.2652	 2.3315

9.2653	 2.3376

9.2654	 2.3438

9.2655	 2.3499

9.2657	 2.3560

9.2658	 2.3622

9.2659	 2.3683

9.2660	 2.3744

9.2661	 2.3806

9.2662	 2.3867

9.2664	 2.3928

9.2665	 2.3990

9.2666	 2.4051

9.2667	 2.4112

9.2668	 2.4174

9.2669	 2.4235

9.2670	 2.4297

9.2672	 2.4358

9.2673	 2.4419

9.2670	 2.4696

9.2672	 2.4761

9.2674	 2.4827

9.2676	 2.4892

9.2679	 2.4958

9.2681	 2.5023

9.2683	 2.5089

9.2685	 2.5154

9.2687	 2.5220

9.2689	 2.5285

9.2691	 2.5351

9.2693	 2.5416

9.2696	 2.5482

9.2698	 2.5548

9.2700	 2.5613

9.2702	 2.5679

9.2704	 2.5744

9.2706	 2.5810

9.2708	 2.5875

9.2710	 2.5941

9.2713	 2.6006

9.2715	 2.6072

9.2717	 2.6137

9.2719	 2.6203

9.2721	 2.6268

9.2723	 2.6334

9.2725	 2.6400

9.2728	 2.6465

9.2730	 2.6531

9.2732	 2.6596

9.2734	 2.6662

9.2736	 2.6727

9.2738	 2.6793

9.2740	 2.6858

9.2743	 2.6924

9.2745	 2.6989

9.2747	 2.7055

9.2749	 2.7120

9.2751	 2.7186

9.2753	 2.7251

9.2599	 2.7272

9.2601	 2.7335

9.2603	 2.7398

9.2605	 2.7461

9.2606	 2.7525

9.2608	 2.7588

9.2610	 2.7651

9.2612	 2.7714

9.2613	 2.7778

9.2615	 2.7841

9.2617	 2.7904

9.2619	 2.7967

9.2620	 2.8030

9.2622	 2.8094

9.2624	 2.8157

9.2626	 2.8220

9.2627	 2.8283

9.2629	 2.8347

9.2631	 2.8410

9.2633	 2.8473

9.2634	 2.8536

9.2636	 2.8600

9.2638	 2.8663

9.2640	 2.8726

9.2641	 2.8789

9.2643	 2.8853

9.2645	 2.8916

9.2647	 2.8979

9.2648	 2.9042

9.2650	 2.9105

9.2652	 2.9169

9.2654	 2.9232

9.2655	 2.9295

9.2657	 2.9358

9.2659	 2.9422

9.2661	 2.9485

9.2662	 2.9548

9.2664	 2.9611

9.2666	 2.9675

9.2668	 2.9738

9.2637	 2.9871

9.2639	 2.9938

9.2640	 3.0004

9.2642	 3.0071

9.2644	 3.0137

9.2646	 3.0204

9.2647	 3.0270

9.2649	 3.0337

9.2651	 3.0403

9.2653	 3.0470

9.2654	 3.0536

9.2656	 3.0603

9.2658	 3.0669

